,ts_code,symbol,name,area,industry,list_date
1576,605338.SH,605338,巴比食品,上海,食品,20201012
1577,605358.SH,605358,立昂微,浙江,半导体,20200911
1578,605366.SH,605366,宏柏新材,江西,化工原料,20200812
1579,605368.SH,605368,蓝天燃气,河南,供气供热,20210129
1580,605369.SH,605369,拱东医疗,浙江,医疗保健,20200916
1581,605376.SH,605376,博迁新材,江苏,小金属,20201208
1582,605377.SH,605377,华旺科技,浙江,造纸,20201228
1583,605388.SH,605388,均瑶健康,湖北,软饮料,20200818
1584,605398.SH,605398,新炬网络,上海,软件服务,20210121
1585,605399.SH,605399,晨光新材,江西,化工原料,20200804
1586,605500.SH,605500,森林包装,浙江,造纸,20201222
1587,688001.SH,688001,华兴源创,江苏,专用机械,20190722
1588,688002.SH,688002,睿创微纳,山东,通信设备,20190722
1589,688003.SH,688003,天准科技,江苏,专用机械,20190722
1590,688004.SH,688004,博汇科技,北京,软件服务,20200612
1591,688005.SH,688005,容百科技,浙江,电气设备,20190722
1592,688006.SH,688006,杭可科技,浙江,电气设备,20190722
1593,688007.SH,688007,光峰科技,深圳,元器件,20190722
1594,688008.SH,688008,澜起科技,上海,半导体,20190722
1595,688009.SH,688009,中国通号,北京,运输设备,20190722
1596,688010.SH,688010,福光股份,福建,电器仪表,20190722
1597,688011.SH,688011,新光光电,黑龙江,元器件,20190722
1598,688012.SH,688012,中微公司,上海,专用机械,20190722
1599,688013.SH,688013,天臣医疗,江苏,医疗保健,20200928
1600,688015.SH,688015,交控科技,北京,运输设备,20190722
1601,688016.SH,688016,心脉医疗,上海,医疗保健,20190722
1602,688017.SH,688017,绿的谐波,江苏,机械基件,20200828
1603,688018.SH,688018,乐鑫科技,上海,半导体,20190722
1604,688019.SH,688019,安集科技,上海,半导体,20190722
1605,688020.SH,688020,方邦股份,广东,元器件,20190722
1606,688021.SH,688021,奥福环保,山东,环境保护,20191106
1607,688022.SH,688022,瀚川智能,江苏,专用机械,20190722
1608,688023.SH,688023,安恒信息,浙江,软件服务,20191105
1609,688025.SH,688025,杰普特,深圳,元器件,20191031
1610,688026.SH,688026,洁特生物,广东,塑料,20200122
1611,688027.SH,688027,国盾量子,安徽,通信设备,20200709
1612,688028.SH,688028,沃尔德,北京,专用机械,20190722
